,user_id,timestamp,method,file_url,file_size,n_like,time_offset
1913,1610515,1370766869,GET,1541503-12506.dat,15532,0,28642254
1914,684063,1370766943,GET,2275824-357416.dat,122202,0,28642328
1915,684063,1370786069,GET,113291-89541.dat,76623,0,28661454
1916,996620,1370767218,GET,897719-321771.dat,14600,0,28642603
1917,954708,1370767748,POST,954708-17212.dat,101479,3,28643133
1918,954708,1371902558,POST,954708-71021.dat,33228,1,29777943
1919,687896,1370768101,GET,2197587-60865.dat,51092,0,28643486
1920,2427379,1370768101,GET,3005960-44671.dat,101256,2,28643486
1921,2427379,1371602233,GET,2240215-185620.dat,59554,0,29477618
1922,2382514,1370768306,GET,1060710-337861.dat,140119,0,28643691
1923,2088265,1370768608,GET,2636633-164427.dat,90671,0,28643993
1924,758610,1370768949,GET,105639-65376.dat,41479,0,28644334
1925,758610,1370913978,GET,1163344-102296.dat,22055,0,28789363
1926,758610,1370923370,GET,1916915-41369.dat,99980,0,28798755
1927,758610,1371101765,GET,1994146-94169.dat,38216,0,28977150
1928,758610,1371106215,GET,1739256-11660.dat,205059,0,28981600
1929,758610,1371182681,GET,361578-16587.dat,17706,0,29058066
1930,758610,1371257246,GET,1258980-139145.dat,30850,0,29132631
1931,1543640,1370768957,GET,2948445-65657.dat,53572,0,28644342
1932,487360,1370769155,GET,760517-78310.dat,37619,0,28644540
1933,1339180,1370769239,GET,1767219-17230.dat,136593,0,28644624
1934,1339180,1371971200,GET,1354265-17665.dat,50092,0,29846585
1935,1339180,1372070826,GET,2700207-78798.dat,6881,0,29946211
1936,1339180,1372070827,GET,1853525-20936.dat,113804,0,29946212
1937,1339180,1372072455,GET,1511975-80527.dat,20711,0,29947840
1938,1213951,1370770087,GET,17127-22198.dat,9650,0,28645472
1939,1213951,1370770088,GET,991856-22219.dat,7388,0,28645473
1940,1213951,1371287102,GET,359546-134148.dat,35110,0,29162487
1941,1683188,1370770802,POST,1683188-17467.dat,39912,0,28646187
1942,38659,1370770860,GET,2431553-241477.dat,54863,0,28646245
1943,38659,1371756268,POST,38659-298350.dat,54858,0,29631653
1944,2700549,1370770911,GET,2178740-64647.dat,46794,0,28646296
1945,697138,1370771260,GET,1211181-177230.dat,17649,0,28646645
1946,88541,1370771364,GET,2292271-2921.dat,5134,0,28646749
1947,454163,1370771604,GET,1802028-17414.dat,38660,0,28646989
1948,454163,1371113693,GET,641071-452577.dat,17277,0,28989078
1949,444880,1370772037,GET,2396206-29696.dat,61738,0,28647422
1950,444880,1371766994,GET,187917-193170.dat,21888,0,29642379
1951,2719519,1370772755,GET,1070830-69430.dat,113878,0,28648140
1952,2719519,1370790244,GET,2359509-12604.dat,57587,0,28665629
1953,1380070,1370773625,GET,919026-67551.dat,48702,0,28649010
1954,2003090,1370774476,GET,1367145-421140.dat,73457,0,28649861
1955,1948762,1370775994,GET,205872-5554.dat,26188,0,28651379
1956,407582,1370776355,GET,1992101-78433.dat,55500,0,28651740
1957,2595444,1370776650,GET,1848496-43530.dat,32904,0,28652035
1958,1339008,1370778358,GET,2390594-66953.dat,21311,0,28653743
1959,873933,1370778800,GET,2694257-76037.dat,97859,0,28654185
1960,873933,1371162921,GET,1860834-812453.dat,48729,0,29038306
1961,1416847,1370778860,POST,1416847-357326.dat,64039,11,28654245
1962,1416847,1370779120,POST,1416847-416554.dat,54903,7,28654505
1963,2951302,1370782059,GET,1422997-48985.dat,96744,0,28657444
1964,2951302,1371777498,GET,769329-180463.dat,18416,0,29652883
1965,2433965,1370782281,GET,1825945-75457.dat,46333,0,28657666
1966,208417,1370782403,GET,2933627-168260.dat,63323,0,28657788
1967,1860571,1370783862,GET,2344072-29711.dat,32119,0,28659247
1968,178847,1370787155,GET,1235457-31911.dat,150813,0,28662540
1969,178847,1370787155,GET,390965-124979.dat,29884,0,28662540
1970,178847,1370787155,GET,2691095-26027.dat,56235,0,28662540
1971,178847,1370787155,GET,2906344-27325.dat,61781,0,28662540
1972,178847,1370787155,GET,646788-29313.dat,29837,0,28662540
1973,178847,1370790755,GET,2535724-22357.dat,58516,0,28666140
1974,178847,1370790755,GET,212812-5429.dat,36234,0,28666140
1975,178847,1372043665,GET,1237775-76574.dat,28129,0,29919050
1976,178847,1372184800,GET,910836-143964.dat,79759,0,30060185
1977,161946,1370787155,GET,646788-29313.dat,29837,0,28662540
1978,161946,1371614432,GET,3013844-127027.dat,25018,0,29489817
1979,127705,1370789183,GET,1220163-23722.dat,79477,0,28664568
1980,729711,1370789669,GET,741052-78934.dat,44093,0,28665054
1981,729711,1370792766,GET,741052-80827.dat,37876,0,28668151
1982,729711,1370848332,GET,960509-86623.dat,197843,0,28723717
1983,729711,1370857760,GET,1385997-60842.dat,76969,0,28733145
1984,729711,1370866332,GET,1367145-421140.dat,73457,0,28741717
1985,729711,1371045573,GET,1339743-109924.dat,70283,1,28920958
1986,729711,1371059973,GET,1685192-136905.dat,114690,0,28935358
1987,729711,1371134667,GET,2208471-146583.dat,33769,0,29010052
1988,729711,1371226534,POST,729711-161514.dat,76890,0,29101919
1989,962964,1370792232,GET,1357146-259535.dat,516389,0,28667617
1990,644417,1370792738,GET,2239705-47197.dat,96798,0,28668123
1991,1034009,1370792766,GET,525457-85244.dat,53567,0,28668151
1992,825676,1370793760,POST,825676-82025.dat,41908,4,28669145
1993,2421788,1370796366,POST,2421788-86159.dat,151813,1,28671751
1994,2421788,1370811760,POST,2421788-80930.dat,75847,2,28687145
1995,2421788,1370811760,POST,2421788-80936.dat,136029,0,28687145
1996,2421788,1370811760,GET,2899107-85334.dat,106670,1,28687145
1997,2421788,1371986967,GET,374530-147177.dat,88334,0,29862352
1998,2128733,1370796869,GET,166421-88563.dat,77512,0,28672254
1999,1782775,1370797432,GET,296072-2144.dat,29791,0,28672817
2000,1024297,1370803566,GET,662067-79273.dat,35987,0,28678951
2001,2413666,1370804437,GET,1591137-384070.dat,10736,0,28679822
2002,2413666,1371439607,GET,330047-42076.dat,42029,0,29314992
2003,164421,1370804560,GET,2906344-27325.dat,61781,0,28679945
2004,645647,1370806374,GET,925468-385050.dat,91021,0,28681759
2005,2810142,1370807669,POST,2810142-89104.dat,39889,0,28683054
2006,2810142,1370807669,GET,1299423-89095.dat,45473,0,28683054
2007,1149579,1370808032,GET,658265-59760.dat,55660,0,28683417
2008,671566,1370808444,GET,254617-5075.dat,67356,0,28683829
2009,1154697,1370808506,GET,2473837-92224.dat,13959,0,28683891
2010,1154697,1370846256,GET,774636-3624.dat,26705,0,28721641
2011,1154697,1370846640,GET,1126054-21040.dat,32933,0,28722025
2012,1154697,1370847721,GET,2775692-1026.dat,36293,0,28723106
2013,1154697,1370848332,GET,2473837-92224.dat,13959,0,28723717
2014,2239710,1370809372,GET,1501035-3725.dat,98762,0,28684757
2015,2239710,1372539223,GET,2014779-1020705.dat,143176,0,30414608
2016,1591642,1370810122,GET,379867-159358.dat,430150,0,28685507
