,user_id,n_pin,n_followers,n_following,n_like,county,n_following_twitter,n_follower_twitter,n_tweet
7259,2199402,0,6,75,32,TR,,,
7260,2199508,0,11,4,0,TR,,,
7261,2199525,0,2,15,0,IL,,,
7262,2199550,9,7,31,25,ID,,,
7263,2199571,0,2,16,9,TR,,,
7264,2200285,0,7,60,5,TR,,,
7265,2200612,56,7,34,33,TR,,,
7266,2200613,11,2,14,3,TR,,,
7267,2200614,0,7,143,5,TR,,,
7268,2200635,19,18,7,2,ID,,,
7269,2200716,2,0,57,1,JP,,,
7270,2200725,48,3,63,86,TH,,,
7271,2200728,0,1,8,29,KR,,,
7272,2200835,888,4,18,15,TH,,,
7273,2200836,0,1,5,0,TH,,,
7274,2201031,18,4,84,50,JP,,,
7275,2201078,0,9,19,0,TH,,,
7276,2201093,10,9,56,4,TH,,,
7277,2201590,2745,67,225,99,TR,,,
7278,2202295,1,4,15,0,JP,,,
7279,2202392,2,5,3,0,JP,,,
7280,2202405,0,8,19,0,KR,,,
7281,2202428,12505,2094,37,340,JP,,,
7282,2202432,0,2,21,0,JP,,,
7283,2202435,16,8,56,0,JP,,,
7284,2202436,54,5,55,2,JP,,,
7285,2202742,1827,37,125,10,ID,221.0,230.0,6160.0
7286,2202858,3,2,68,0,VN,21.0,10.0,5.0
7287,2203010,0,5,8,5,JP,,,
7288,2203369,30,17,8,5,JP,,,
7289,2203379,26,5,24,4,JP,,,
7290,2203687,656,13,106,70,TH,305.0,128.0,7951.0
7291,2203697,2,0,12,0,JP,,,
7292,2203920,6,7,25,0,JP,,,
7293,2204022,0,4,63,0,KR,,,
7294,2204090,803,88,171,0,JP,957.0,297.0,496.0
7295,2204181,22,7,22,6,KR,,,
7296,2204427,33,155,60,0,VN,,,
7297,2204509,1,0,20,20,TH,,,
7298,2204562,8,37,255,42,TH,,,
7299,2204613,0,11,25,0,JP,,,
7300,2204655,1,10,12,0,TR,,,
7301,2204831,44,14,10,32,TR,,,
7302,2204842,0,6,49,7,TR,,,
7303,2204888,7,9,18,2,TR,214.0,130.0,340.0
7304,2205047,1,1,61,6,TH,,,
7305,2205299,0,0,10,0,JP,,,
7306,2205502,0,50,5,0,KR,,,
7307,2205639,520,17,27,194,JP,,,
7308,2205928,5,10,13,0,JP,,,
7309,2205950,641,78,519,4,TH,,,
7310,2206360,112,25,19,14,JP,,,
7311,2206503,0,4,12,0,CN,,,
7312,2206705,0,16,444,0,TH,,,
7313,2206871,0,5,10,0,JP,732.0,317.0,5575.0
7314,2207419,222,10,3,51,CN,,,
7315,2207468,0,2,21,7,IL,,,
7316,2207824,0,5,4,0,KR,,,
7317,2207908,0,3,7,0,IL,,,
7318,2207918,2974,104,182,13,KR,,,
7319,2207933,9,0,59,0,KR,89.0,85.0,5.0
7320,2208068,18,7,19,0,JP,,,
7321,2208070,29,8,15,18,JP,,,
7322,2208071,0,10,42,0,JP,,,
7323,2208167,2,19,22,0,JP,,,
7324,2208240,104,20,53,216,TR,,,
7325,2208341,104,4,23,75,TR,,,
7326,2208346,1,11,1,0,TR,,,
7327,2208351,44,16,51,12,TR,,,
7328,2208356,116,23,249,137,TR,,,
7329,2208358,135,7,14,41,TR,,,
7330,2208378,21,14,21,13,TR,,,
7331,2208391,27,4,2,0,JP,,,
7332,2208446,55,10,55,3,ID,,,
7333,2208453,0,11,67,39,JP,,,
7334,2208520,1,9,33,0,JP,,,
7335,2208546,15,7,3,140,KR,,,
7336,2208611,0,2,0,7,KR,,,
7337,2208662,12,6,70,9,KR,,,
7338,2208699,110,68,106,193,KR,1341.0,1175.0,4710.0
7339,2208804,301,18,22,345,KR,,,
7340,2208837,0,10,65,5,KR,,,
7341,2209119,66,4,57,14,TR,,,
7342,2209316,1,0,10,0,JP,,,
7343,2209318,226,9,55,15,JP,,,
7344,2209387,7,48,57,13,KR,,,
7345,2209445,6,5,51,26,JP,,,
7346,2209574,26,48,27,39,TH,,,
7347,2209601,116,15,116,7,JP,,,
7348,2209828,4,8,18,1,JP,,,
7349,2209834,0,3,10,0,JP,,,
7350,2209848,8,1,12,5,JP,,,
7351,2210005,0,11,70,0,KR,,,
7352,2210203,0,1,6,0,KR,,,
7353,2210331,0,5,59,0,JP,,,
7354,2210404,1,6,4,2,JP,,,
7355,2210501,60,9,24,1,TH,,,
7356,2210566,0,3,62,3,TH,,,
7357,2210628,1,15,201,14,TH,,,
7358,2210815,9,0,19,6,KR,,,
7359,2210823,2,13,56,0,JP,,,
7360,2210836,131,21,140,1,JP,,,
7361,2210855,0,6,9,1,JP,,,
7362,2210861,69,4,5,0,TR,,,
7363,2210862,2,10,4,0,TR,,,
7364,2210863,1,4,6,2,JP,,,
7365,2210865,4,5,144,222,KR,,,
7366,2210872,24,3,13,8,JP,,,
7367,2210874,0,0,58,3,TR,,,
7368,2210895,0,29,22,0,JP,,,
7369,2210925,36,2,11,8,KR,55.0,16.0,7.0
7370,2210945,0,6,86,5,JP,,,
7371,2210949,406,9,69,19,CN,,,
7372,2211037,37,20,73,11,JP,,,
7373,2211043,5,2,2,0,JP,,,
7374,2211054,0,31,0,0,JP,,,
7375,2211154,4,6,30,18,JP,,,
7376,2211281,4643,132,71,14,JP,96.0,55.0,1848.0
7377,2211296,38,2,58,9,JP,,,
7378,2211302,30,15,14,2,JP,,,
7379,2211311,0,5,0,0,JP,,,
7380,2211385,23,13,14,2,JP,,,
7381,2211407,133,3,4,12,JP,,,
7382,2211418,0,5,10,0,JP,,,
7383,2211537,2168,96,190,5163,TR,,,
7384,2211593,471,45,15,169,ID,,,
7385,2211594,55,9,31,10,TR,,,
7386,2211596,25,63,71,19,TR,,,
